Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Nixalo,Square,Alprazolam,"Anxiety disorders, Generalized Anxiety Disorder (GAD), Panic disorder with or without agoraphobia",Initially 0.25 mg two or three times daily; may be increased in 0.25 mg increments as needed,"Drowsiness, light-headedness, fatigue, dry mouth, constipation",Category D; should be avoided during pregnancy and lactation,,
Xolam XR,Aristopharma,Alprazolam,"Anxiety disorders, Panic disorders",Start with 0.5–1 mg once daily; adjust as needed,"Drowsiness, light-headedness, fatigue, dry mouth",Category D; should be avoided during pregnancy and lactation,,
Evalin,Aristopharma,Diazepam,"Anxiety disorders, muscle spasms, seizures, alcohol withdrawal symptoms",5 mg tablet; dosage as directed by physician,"Somnolence, dizziness, light-headedness, confusion, ataxia",Category D; should be avoided during pregnancy and lactation,,
Serelam,General Pharmaceuticals,Alprazolam,"Anxiety disorders, Panic disorders",Start with 0.25–0.5 mg three times daily; adjust as needed,"Drowsiness, light-headedness, fatigue, dry mouth",Category D; should be avoided during pregnancy and lactation,,
Anxio,UniMed UniHealth,Bromazepam 3 mg,"Anxiety, tension, agitation, and related disorders","Typically 1.5–3 mg, 2–3 times daily; adjust as needed","Drowsiness, dizziness, fatigue, ataxia",Category D; should be avoided during pregnancy and lactation,,
Q-Fit,Everest Pharmaceuticals,Quetiapine Fumarate 25 mg / 100 mg,"Schizophrenia, bipolar disorder, major depressive disorder adjunct",Start with 25 mg twice daily; adjust based on response,"Sedation, dry mouth, weight gain, dizziness",Category C; use only if benefits outweigh risks,,
Anquil,General Pharmaceuticals,Midazolam 7.5 mg / 15 mg,"Short-term treatment of insomnia, preoperative sedation, anxiety",7.5–15 mg at bedtime or as directed,"Drowsiness, confusion, respiratory depression",Category D; contraindicated unless absolutely necessary,,
Sleepon,Silva Pharmaceuticals,Eszopiclone 1 mg / 2 mg,Insomnia is characterized by difficulty falling asleep, 1–2 mg at bedtime,"Headache, unpleasant taste, dizziness",Category C; use only if clearly needed,,
Xorest,Healthcare Pharmaceuticals,Clonazepam 0.5 mg / 1 mg,"Panic disorders, seizure disorders, anxiety",0.25–1 mg twice daily; adjust as needed,"Drowsiness, coordination issues, fatigue",Category D; avoid unless benefits justify risks,,
Rispolux,Renata,Risperidone 4 mg,"Schizophrenia, bipolar mania, irritability in autism",Start with 1–2 mg daily; adjust based on response,"Weight gain, extrapyramidal symptoms, sedation",Category C; use only if benefits outweigh risks,,
Citalam,Incepta,Citalopram 5 mg / 10 mg,"Depression, anxiety disorders",Start with 10 mg once daily; adjust as needed,"Nausea, dry mouth, insomnia",Category C; consult physician before use,,
Nexito,Sun Pharmaceutical,Escitalopram 5 mg,"Major depressive disorder, generalized anxiety disorder",5–10 mg once daily,"Nausea, insomnia, fatigue",Category C; use only if clearly needed,,
Leptic ODT,ACI,Clonazepam 0.25 mg / 0.5 mg,"Panic disorders, seizure disorders",0.25 mg twice daily; adjust as needed,"Drowsiness, dizziness, coordination issues",Category D; avoid unless benefits justify risks,,
Hypnofast,Incepta,Midazolam 7.5 mg,"Short-term treatment of insomnia, preoperative sedation",7.5 mg at bedtime,"Drowsiness, confusion, respiratory depression",Category D; contraindicated unless absolutely necessary,,
Milam,Sk+f,Midazolam,"Short-term treatment of insomnia, preoperative sedation, and anxiety",Typically 7.5 mg orally at bedtime,"Drowsiness, dizziness, muscle weakness, and coordination problems",Not recommended; may cause fetal harm,,
Dormitol,Square,Midazolam,Management of insomnia and preoperative sedation,7.5 mg orally at bedtime,"Sedation, fatigue, and memory impairment",Contraindicated; potential risks to the fetus,,
Dormicum,Radiant,Midazolam,Treatment of severe insomnia and anxiety disorders,7.5 mg orally before bedtime,"Drowsiness, confusion, and ataxia",Should be avoided; risk of neonatal withdrawal symptoms,,
Sleepwel,Popular,Eszopiclone,Treatment of insomnia characterized by difficulty falling asleep,1–2 mg orally at bedtime,"Headache, unpleasant taste, and dizziness",Use only if clearly needed; consult a physician,,
Zopilone,Incepta,Eszopiclone,Short-term treatment of insomnia,1–2 mg orally at bedtime,"Dry mouth, dizziness, and somnolence",Not recommended; insufficient data on safety,,
Filfresh,Square,ManagementMelatonin of circadian rhythm sleep disorders and insomnia,Management of circadian rhythm sleep disorders and insomnia,3 mg orally 30 minutes before bedtime,"Daytime drowsiness, headache, and dizziness",Use with caution; consult healthcare provider,,
Melato,Beximco,Melatonin,Treatment of insomnia and jet lag,3 mg orally at bedtime,"Nausea, dizziness, and drowsiness",Should be used only if clearly needed,,
Melonin,Sk+f,Melatonin,Management of sleep disorders and insomnia,3 mg orally before bedtime,"Sleepiness, headache, and dizziness",Consult a healthcare provider before use,,
Norry,Renata,Bromazepam,Treatment of anxiety and sleep disturbances,3 mg orally once or twice daily,"Sedation, dizziness, and muscle weakness",Contraindicated; potential risk to fetus,,
Notens,Aristopharma,Bromazepam,Management of anxiety and insomnia,3 mg orally once or twice daily,"Drowsiness, fatigue, and impaired coordination",Not recommended; may cause fetal harm,,
Ancotil,Rangs Pharmaceuticals,Bromazepam,Management of anxiety and sleep disturbances,"3 mg orally once daily, preferably at bedtime","Drowsiness, dizziness, and impaired coordination",Not recommended; may cause fetal harm,,
Anxirel,Novo Healthcare and Pharma,Bromazepam,Treatment of anxiety disorders and insomnia,3 mg orally once daily,"Sedation, fatigue, and muscle weakness",Contraindicated; potential risks to the fetus,,
Benzopam,Benham Pharmaceuticals,Bromazepam,Relief of anxiety and sleep disorders,3 mg orally once daily,"Drowsiness, dizziness, and potential dependence",Not recommended; may cause fetal harm,,
Bomaz,Sharif Pharmaceuticals,Bromazepam,Management of anxiety and sleep disturbances,3 mg orally once daily,"Sedation, dizziness, and impaired coordination",Contraindicated; potential risks to the fetus,,
Bopam,Opsonin,Bromazepam,Treatment of anxiety disorders and insomnia,3 mg orally once daily,"Drowsiness, fatigue, and potential dependence",Not recommended; may cause fetal harm,,
Bromazep,Orion,Bromazepam,Relief of anxiety and sleep disorders,3 mg orally once daily,"Sedation, dizziness, and impaired coordination",Contraindicated; potential risks to the fetus,,
Broze,Biopharma,Bromazepam,Management of anxiety and sleep disturbances,3 mg orally once daily,"Drowsiness, fatigue, and potential dependence",Not recommended; may cause fetal harm,,
Brozep,Alco Pharma,Bromazepam,Treatment of anxiety disorders and insomnia,3 mg orally once daily,"Sedation, dizziness, and impaired coordination",Contraindicated; potential risks to the fetus,,
Freten,Delta Pharma,Bromazepam,Relief of anxiety and sleep disorders,3 mg orally once daily,"Drowsiness, fatigue, and potential dependence",Not recommended; may cause fetal harm,,
Kpam,Kemiko Pharmaceuticals,Bromazepam,Management of anxiety and sleep disturbances,3 mg orally once daily,"Sedation, dizziness, and impaired coordination",Contraindicated; potential risks to the fetus,,
Qutipin,Sun Pharmaceutical,Quetiapine Fumarate,"Treatment of schizophrenia, bipolar disorder, and adjunctive therapy for major depressive disorder","Initial dose of 25 mg twice daily, titrated based on clinical response","Drowsiness, dizziness, dry mouth, constipation, and weight gain",Use only if the potential benefit justifies the potential risk to the fetus,,
Sizodon MD,Sun Pharmaceutical,Risperidone,"Management of schizophrenia, bipolar mania, and irritability associated with autistic disorder",Starting dose of 1 mg twice daily; adjust as needed,"Extrapyramidal symptoms, weight gain, sedation, and increased prolactin levels",Use only if the potential benefit justifies the potential risk to the fetus,,
Oleanz,Sun Pharmaceutical,Olanzapine,Treatment of schizophrenia and bipolar disorder,Initial dose of 5–10 mg once daily; adjust based on response,"Weight gain, sedation, metabolic changes, and extrapyramidal symptoms",Use only if the potential benefit justifies the potential risk to the fetus,,
Prodep,Sun Pharmaceutical,Fluoxetine Hydrochloride,"Treatment of major depressive disorder, obsessive-compulsive disorder, and bulimia nervosa",Starting dose of 20 mg once daily; may increase after several weeks,"Nausea, insomnia, anxiety, and sexual dysfunction",Use only if the potential benefit justifies the potential risk to the fetus,,
Suvorest,ACI,Suvorexant,Treatment of insomnia characterized by difficulties with sleep onset and/or sleep maintenance,10 mg taken within 30 minutes of going to bed; maximum dose 20 mg,"Somnolence, headache, dizziness, and abnormal dreams",Use only if the potential benefit justifies the potential risk to the fetus,,
Zopilone,Incepta,Eszopiclone,Treatment of insomnia,1 mg immediately before bedtime; may increase to 2 mg if needed,"Unpleasant taste, headache, dizziness, and dry mouth",Use only if the potential benefit justifies the potential risk to the fetus,,
Midolam,Opsonin,Midazolam,Short-term treatment of insomnia and preoperative sedation,7.5–15 mg orally before bedtime or as premedication,"Drowsiness, dizziness, decreased alertness, and amnesia",Contraindicated; may cause fetal harm,,
Dormax,Aristopharma,Midazolam,Short-term treatment of insomnia and preoperative sedation,7.5–15 mg orally before bedtime or as premedication,"Drowsiness, dizziness, decreased alertness, and amnesia",Contraindicated; may cause fetal harm,,
Hypnofast,Incepta,Midazolam,Short-term treatment of insomnia and preoperative sedation,7.5–15 mg orally before bedtime or as premedicatio,"Drowsiness, dizziness, decreased alertness, and amnesia",Contraindicated; may cause fetal harm,,
Midzo,Renata Limited,Midazolam,Short-term treatment of insomnia and preoperative sedation,7.5–15 mg orally before bedtime or as premedication,"Drowsiness, dizziness, decreased alertness, and amnesia",Contraindicated; may cause fetal harm,,
Ciprocin,Square,Ciprofloxacin 0.3%,Bacterial eye/ear infections,1–2 drops every 2–4 hrs,"Burning, irritation",Caution advised,,
Ciprinol,Incepta,Ciprofloxacin 0.3%,"Conjunctivitis, otitis externa",1–2 drops 4× daily,Mild discomfort,Use if necessary,,
Cifox,Renata,Ciprofloxacin 0.3%,Bacterial infections,1–2 drops 3–4× daily,"Redness, itching",Use with caution,,
Cifor,ACI,Ciprofloxacin 0.3%,"Corneal ulcer, conjunctivitis","Every 2 hrs for 2 days, then every 4 hrs",Temporary stinging,Avoid unless needed,,
Ophthacin,Aristopharma,Ciprofloxacin 0.3%,Eye/ear infections,1–2 drops qid,Mild irritation,Consult physician,,
Tearsol,Square,Carboxymethylcellulose 0.5%,Dry eyes,1–2 drops as needed,Blurred vision temporarily,Generally safe,,
Refresh Tears,Allergan,CMC Sodium 0.5%,Eye dryness,1–2 drops prn,Mild burning,Safe,,
Eyeclenz,Incepta,Hydroxypropyl methylcellulose,Lubrication for dry eye,1–2 drops 3–4× daily,Eye discomfort,Safe,,
Tears Plus,Opsonin,CMC + Glycerin,Dry eye relief,As needed,Temporary blurring,Acceptable,,
Lubripure,Sk+f,Polyvinyl alcohol + Povidone,Tear substitute,1–2 drops as required,Rare irritation,Likely safe,,
Aprocin,Aristopharma,Ciprofloxacin 0.3%,Bacterial eye/ear infections,1–2 drops every 2–4 hours,"Burning, irritation",Use only if necessary,,
Bactin,Ibn Sina Pharma,Ciprofloxacin 0.3%,"Bacterial conjunctivitis, otitis externa",1–2 drops every 2–4 hours,Mild discomfort,Caution advised,,
Beuflox,Incepta,Ciprofloxacin 0.3%,Bacterial infections (eye/ear),1–2 drops every 2–4 hours,Temporary stinging,If benefits outweigh risks,,
Cero,Gaco Pharma,Ciprofloxacin 0.3%,"Conjunctivitis, ear infections",1–2 drops every 2–4 hours,"Redness, itching",Consult physician,,
Cilocin,Pacific Pharmaceuticals,Ciprofloxacin 0.3%,Eye and ear infections,1–2 drops every 2–4 hours,Mild irritation,Use with caution,,
Aprodex,Aristopharma,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Eye inflammation with bacterial infection,1–2 drops every 4–6 hours,"Eye discomfort, increased IOP",Use with caution,,
Beuflox-D,Incepta,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory ocular infections,1–2 drops every 4–6 hours,"Blurred vision, burning",Use with caution,,
Cip-D,Asiatic Laboratories,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Ocular inflammation with bacterial infection,1–2 drops every 4–6 hours,"Redness, pressure increase",Consult doctor,,
Atier,ACI,Hypromellose (Hydroxypropyl Methylcellulose) 0.3%,Dry eyes,1–2 drops as needed,Temporary blurred vision,Generally safe,,
Eyefresh,OSL Pharma,Hypromellose (HPMC),Eye dryness and irritation,1–2 drops as required,"Mild burning, sticky feeling",Safe,,
Ciprin,Nipa Pharmaceuticals,Ciprofloxacin 0.3%,Bacterial eye/ear infections,1–2 drops every 2–4 hours,"Burning, irritation",Use only if necessary,,
Cipcin,Biopharma,Ciprofloxacin 0.3%,Bacterial eye/ear infections,1–2 drops every 2–4 hours,Mild discomfort,Use with caution,,
Cipro-A,Acme,Ciprofloxacin 0.3%,Bacterial eye/ear infections,1–2 drops every 2–4 hours,Temporary stinging,Use if benefits outweigh risks,,
Ciprox,Opsonin,Ciprofloxacin 0.3%,Bacterial eye/ear infections,1–2 drops every 2–4 hours,"Redness, itching",Consult physician,,
Kapron,Globe Pharmaceuticals,Ciprofloxacin 0.3%,Bacterial eye/ear infections,1–2 drops every 2–4 hours,Mild irritation,Use with caution,,
Ciprozid-DX,Drug Internationa,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Increased intraocular pressure, discomfort",Use only if necessary,,
Civodex,Popular Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Blurred vision, burning",Use with caution,,
Dexaflox,General Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Eye discomfort, increased IOP",Use only if necessary,,
Dexcilo,Pacific Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Blurred vision, burning",Use with caution,,
Procin-D,Kemiko Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Redness, pressure increase",Consult doctor,,
Kapron,Globe Pharmaceuticals,Ciprofloxacin 0.3%,Bacterial eye/ear infections,1–2 drops every 2–4 hours,Mild irritation,Use with caution,,
Floxabid,ACI,Ciprofloxacin 0.3%,Treatment of bacterial conjunctivitis and otitis externa,1–2 drops every 2–4 hours,"Transient irritation, blurred vision", Use with caution,,
Cipro-C,Chemist Laboratories,Ciprofloxacin 0.3%,Bacterial infections of the eye and ear,1–2 drops every 2–4 hours,"Burning, discomfort, potential allergic reactions",Use only if clearly needed,,
Cip,Asiatic Laboratories,Ciprofloxacin 0.3%,Bacterial eye and ear infections,1–2 drops every 2–4 hours,"Eye discomfort, itching",Use only if benefits outweigh risks,,
Civox,Popular Pharmaceuticals,Ciprofloxacin 0.3%,Treatment of bacterial conjunctivitis and otitis externa,1–2 drops every 2–4 hours,"Transient irritation, blurred vision",Use with caution,,
Spectra,Jayson Pharmaceutical,Ciprofloxacin 0.3%,Bacterial infections of the eye and ear,1–2 drops every 2–4 hours,"Burning, stinging, redness",Use only if clearly needed,,
Bactin D,Ibn Sina Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Blurred vision, burning",Use with caution,,
Cerodex,Gaco Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Redness, pressure increase",Consult doctor,,
Ciflodex,Reman Drug Laboratories,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Redness, pressure increase",Consult doctor,,
Cipcin-DX,Biopharma,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Blurred vision, burning",Use with caution,,
Cipro-D,Acme,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Eye discomfort, increased IOP",Use only if necessary,,
Ciproxy D,OSL Pharma,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Redness, pressure increase",Consult doctor,,
Ciprozid-DX,Drug International,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Inflammatory eye/ear conditions with bacterial infections,1–2 drops every 4–6 hours,"Redness, pressure increase",Consult doctor,,
Ciflox,Reman Drug Laboratories ,Ciprofloxacin 0.3%,Bacterial infections of the eye and ear,1–2 drops every 2–4 hours,"Burning, stinging, redness",Use only if clearly needed,,
Ciprinol,Square,Ciprofloxacin 0.3%,Bacterial infections of the eye and ear,1–2 drops every 2–4 hours,"Burning, discomfort, potential allergic reactions",Use only if clearly needed,,
Xerox D,OSL Pharma,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Treatment of eye and ear infections with associated inflammation,1–2 drops every 4–6 hours,"Possible eye irritation, increased intraocular pressure",Use only if clearly needed,,
Geflox-D,General Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Bacterial infections of the eye and ear with inflammation,1–2 drops every 4–6 hours,"Eye discomfort, potential increase in intraocular pressure",Use with caution,,
Neofloxin-D,Beximco,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Treatment of bacterial eye and ear infections with inflammation,1–2 drops every 4–6 hours,"Possible eye irritation, increased intraocular pressure",Use only if clearly needed,,
Opdex,Nipa Pharmaceuticals ,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Bacterial infections of the eye and ear with associated inflammation,1–2 drops every 4–6 hours,"Eye discomfort, potential increase in intraocular pressure",Use with caution,,
Rocipro Plus,Healthcare Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Treatment of eye and ear infections with inflammation,1–2 drops every 4–6 hours,"Possible eye irritation, increased intraocular pressure",Use only if clearly needed,,
Lox-D,Apex Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Treatment of eye and ear infections with associated inflammation,1–2 drops every 4–6 hours,"Possible eye irritation, increased intraocular pressure",Use only if clearly needed,,
Quidex,Navana Pharmaceuticals,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Bacterial infections of the eye and ear with inflammation,1–2 drops every 4–6 hours,"Eye discomfort, potential increase in intraocular pressure",Use with caution,,
Monipro-E,Monicopharma,Ciprofloxacin 0.3%,Treatment of bacterial eye infections,1–2 drops every 2–4 hours,"Eye irritation, redness",Use only if clearly needed,,
G-Cipro,Gonoshasthaya Pharma,Ciprofloxacin 0.3%,Treatment of bacterial eye infections,1–2 drops every 2–4 hours,"Eye discomfort, potential allergic reactions",Use with caution,,
Flontin,Renata ,Ciprofloxacin 0.3%,Treatment of bacterial eye infections,1–2 drops every 2–4 hours,"Eye irritation, redness",Use only if clearly needed,,
Ciprocort,Drug International,Ciprofloxacin 0.3% + Dexamethasone 0.1%,Treatment of eye and ear infections with associated inflammation,1–2 drops every 4–6 hours,"Possible eye irritation, increased intraocular pressure",Use only if clearly needed,,
Aprocin HC,Aristopharma,Ciprofloxacin 0.3% + Hydrocortisone 1%,Bacterial infections of the eye and ear with inflammation,1–2 drops every 4–6 hours,"Eye discomfort, potential increase in intraocular pressure",Use with caution,,
Cero HC,Gaco Pharmaceuticals,Ciprofloxacin 0.3% + Hydrocortisone 1%,Treatment of bacterial eye and ear infections with inflammation,1–2 drops every 4–6 hours,"Possible eye irritation, increased intraocular pressure",Use only if clearly needed,,
Sultolin® HFA Inhaler,Square,Salbutamol Sulphate,Treatment or prevention of bronchospasm in adults and children aged 4 years and older with reversible obstructive airway disease; prevention of exercise-induced bronchospasm,As directed by a physician,"Tremor, headache, tachycardia",Use only if clearly needed,,
Azmasol® HFA Inhaler,Beximco,Salbutamol Sulphate,Treatment or prevention of bronchospasm in bronchial asthma and reversible airway obstruction,As directed by a physician,"Tremor, nervousness, palpitations",Use only if clearly needed,,
Bexitrol® F HFA Inhaler,Beximco,Salmeterol Xinafoate + Fluticasone Propionate,Maintenance treatment of asthma and COPD,As directed by a physician,"Hoarseness, oral thrush, headache",Use only if clearly needed,,
Fobunid® Inhaler,Ek+f,Budesonide + Formoterol Fumarate,Treatment of asthma and COPD,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
Beclomin® HFA Inhaler,Square,Beclometasone Dipropionate,"Prophylactic management of mild, moderate, or severe asthma in adults or children",As directed by a physician,"Oral thrush, hoarseness",Use only if clearly needed,,
Axinat®-F Inhaler,Acme,Salmeterol + Fluticasone Propionate,Maintenance treatment of asthma and COPD,As directed by a physician,"Hoarseness, oral thrush, headache",Use only if clearly needed,,
Ascon®-F Inhaler,Acme,Beclomethasone Dipropionate + Formoterol Fumarate,Treatment of asthma and COPD,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
Symbion® Inhaler,Square,Budesonide + Formoterol Fumarate,Treatment of asthma and COPD,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
Triflo® Arocap,Aristopharma,Indacaterol + Glycopyrronium + Mometasone Furoate,"Once-daily treatment for asthma, COPD, and asthma-COPD overlap (ACO)",As directed by a physician,"Dry mouth, sore throat, cough",Use only if clearly needed,,
Flutide Inhaler,Square Pharmaceuticals PLC,Fluticasone Propionate 250 mcg + Salmeterol 25 mcg/puff,Maintenance treatment of asthma and COPD,As directed by a physician,"Dry mouth, sore throat, cough",Use only if clearly needed,,
Brodil HFA Inhaler,ACI,Salbutamol 100 mcg/puff,Treatment of bronchospasm in asthma and COPD,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
Asmalin HFA Inhaler,Aristopharma,Salbutamol 100 mcg/puff,Relief of bronchospasm in asthma and COPD,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
Oxycort DPI Capsule,ACI,Budesonide 200 mcg + Formoterol Fumarate 6 mcg,Maintenance treatment of asthma and COPD,As directed by a physician,"Tremor, nervousness, palpitations",Use only if clearly needed,,
Dulamet HFA Inhaler,Square ,Mometasone Furoate 100 mcg + Formoterol Fumarate 5 mcg/puff,Maintenance therapy for asthma and COPD​,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
Ventil HFA Inhaler,Drug International Ltd,Salbutamol 100 mcg/puff,Relief of bronchospasm in asthma and COPD,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
PulmoCare-L Inhaler,Healthcare ,Levosalbutamol 100 mcg/puff,Treatment of bronchospasm in asthma and COPD,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
Saltide Inhaler,UniMed UniHealth Pharmaceuticals Ltd,Salbutamol 100 mcg/puff,Treatment of bronchospasm in asthma and COPD,As directed by a physician,"Oral thrush, hoarseness, cough",Use only if clearly needed,,
Azbec® Inhaler,Ek+f,Beclomethasone Dipropionate,Maintenance treatment of asthma,As directed by a physician.,"Oral thrush, hoarseness",Use only if clearly needed,,
Beclocort® HFA Inhaler,Aristopharma ,Beclomethasone Dipropionate,Prophylactic management of asthma,As directed by a physician,"Oral thrush, hoarseness",Use only if clearly needed,,
Decomit® Inhaler,Beximco,Beclomethasone Dipropionate,Maintenance treatment of asthma,As directed by a physician,"Oral thrush, hoarseness",Use only if clearly needed,,
Salburen® Inhaler,Renata,Salbutamol 100 mcg/puff,Relief of bronchospasm in asthma and COPD,As directed by a physician,"Nervousness, shakiness, throat irritation",Use only if clearly needed,,
Steradin® Inhaler,ACI,Beclomethasone Dipropionate,Prophylactic management of asthma,As directed by a physician,"Oral thrush, hoarseness",Use only if clearly needed,,
Salmolin® Inhaler,Acme,Salbutamol 100 mcg/puff,Treatment or prevention of bronchospasm in asthma and COPD, As directed by a physician,"Dizziness, dry mouth, increased heart rate",Use only if clearly needed,,
Aroflo® Inhaler,Aristopharma,Salmeterol + Fluticasone Propionate,Maintenance treatment of asthma and COPD, As directed by a physician,"Hoarseness, oral thrush, headache",Use only if clearly needed,,
Arotide® Inhaler,Ek+f,Salmeterol + Fluticasone Propionate,Maintenance treatment of asthma and COPD,As directed by a physician,"Hoarseness, oral thrush, headache",Use only if clearly needed,,
Combair® Inhaler,ACI,Salbutamol + Ipratropium Bromide,Treatment of bronchospasm in COPD and asthma,As directed by a physician,"Dry mouth, cough, headache",Use only if clearly needed,,
Airfors® Inhaler,Acme,Salbutamol + Budesonide,Treatment of asthma and COPD,As directed by a physician,"Tremor, headache, oral thrush",Use only if clearly needed,,
Beclomin® Inhaler,Square,Beclomethasone Dipropionate 100 mcg/puff,Maintenance treatment of asthma,As directed by a physician,"Cough, hoarseness, oral thrush",Use only if clearly needed,,
Budison® F Inhaler,Aristopharma ,Budesonide + Formoterol Fumarate,Treatment of asthma and COPD,As directed by a physician,"Cough, hoarseness, oral thrush",Use only if clearly needed,,
Becovent® Inhaler,Drug International,Beclomethasone Dipropionate 100 mcg/puff,Prophylactic management of asthma,As directed by a physician,"Throat irritation, hoarseness, oral thrush",Use only if clearly needed,,
Salomax® HFA Inhaler,Ek+f,Salbutamol,Relief of bronchospasm in asthma and COPD,As directed by a physician,"Tremor, headache, tachycardia",Use only if clearly needed,,
